Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.93 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
Janela .......: 11 	Throughput ...: 1.94 	Delay ........: 162 	T / D ........: 11.90000 
